Wavelength (nm),Responsivity (mA/W)
700,0.42
705,0.49
710,0.57
715,0.65
720,0.73
725,0.81
730,0.89
735,0.97
740,1.05
745,1.13
750,1.22
755,1.3
760,1.38
765,1.47
770,1.55
775,1.64
780,1.72
785,1.8
790,1.88
795,1.97
800,2.04
805,2.12
810,2.2
815,2.28
820,2.35
825,2.42
830,2.5
835,2.56
840,2.63
845,2.69
850,2.76
855,2.82
860,2.87
865,2.93
870,2.98
875,3.03
880,3.08
885,3.12
890,3.17
895,3.21
900,3.25
905,3.29
910,3.33
915,3.37
920,3.41
925,3.44
930,3.48
935,3.51
940,3.55
945,3.58
950,3.62
955,3.66
960,3.69
965,3.73
970,3.76
975,3.8
980,3.85
985,3.89
990,3.93
995,3.98
1000,4.02
1005,4.07
1010,4.13
1015,4.18
1020,4.23
1025,4.29
1030,4.35
1035,4.41
1040,4.48
1045,4.55
1050,4.62
1055,4.69
1060,4.76
1065,4.85
1070,4.93
1075,5.02
1080,5.1
1085,5.2
1090,5.3
1095,5.41
1100,5.51
1105,5.63
1110,5.74
1115,5.87
1120,6.01
1125,6.16
1130,6.3
1135,6.46
1140,6.63
1145,6.8
1150,6.98
1155,7.17
1160,7.37
1165,7.58
1170,7.79
1175,8.02
1180,8.25
1185,8.5
1190,8.76
1195,9.03
1200,9.3
1205,9.59
1210,9.9
1215,10.23
1220,10.56
1225,10.91
1230,11.28
1235,11.7
1240,12.12
1245,12.55
1250,13
1255,13.48
1260,13.98
1265,14.5
1270,15.05
1275,15.62
1280,16.23
1285,16.85
1290,17.49
1295,18.15
1300,18.85
1305,19.58
1310,20.34
1315,21.11
1320,21.92
1325,22.76
1330,23.63
1335,24.51
1340,25.4
1345,26.31
1350,27.26
1355,28.24
1360,29.27
1365,30.33
1370,31.41
1375,32.53
1380,33.67
1385,34.83
1390,35.98
1395,37.1
1400,38.21
1405,39.35
1410,40.52
1415,41.75
1420,43.02
1425,44.34
1430,45.69
1435,47.04
1440,48.4
1445,49.76
1450,51.1
1455,52.45
1460,53.81
1465,55.2
1470,56.61
1475,58
1480,59.38
1485,60.75
1490,62.11
1495,63.47
1500,64.82
1505,66.13
1510,67.42
1515,68.67
1520,69.9
1525,71.11
1530,72.29
1535,73.41
1540,74.45
1545,75.35
1550,76.07
1555,76.53
1560,76.63
1565,76.28
1570,75.37
1575,73.88
1580,71.88
1585,69.54
1590,67.04
1595,64.54
1600,62.17
1605,60
1610,58.05
1615,56.31
1620,54.74
1625,53.28
1630,51.89
1635,50.56
1640,49.27
1645,48.02
1650,46.83
1655,45.66
1660,44.52
1665,43.4
1670,42.31
1675,41.25
1680,40.21
1685,39.17
1690,38.14
1695,37.13
1700,36.11
1705,35.09
1710,34.07
1715,33.09
1720,32.12
1725,31.14
1730,30.15
1735,29.14
1740,28.12
1745,27.1
1750,26.09
1755,25.09
1760,24.09
1765,23.05
1770,21.99
1775,20.92
1780,19.82
1785,18.7
1790,17.58
1795,16.47
1800,15.38
